stable_id,topic_id,topic_group,knowledge_point,year,exam_time,question_number,question_summary,topic_priority,review_status,practice_count,last_practiced,source_pdf,source_page,source_text_file,source_image,original_question_text,answer_notes,raw_text
t01_2023_q1a,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,数据清洗的必要性、operational data,2023,2 May 13:00-15:00,Q1(a),解释为什么医院 operational data 在分析前必须清洗，并说明可用资源,high,new,1,2026-04-30 12:45,paper/DAwHPC-ExamPaper-2023.pdf,2,extracted/text/DAwHPC-ExamPaper-2023_page_02.txt,extracted/images/DAwHPC-ExamPaper-2023_page_02.png,"(a) The dataset is an example of Operational data which has not been gathered
for a speciﬁc analysis. Explain why it is vital to clean this data before it is
made available for analysis, and state two resources you could use to assist
with the cleaning.
[3 marks]",,"数据清洗的必要性、operational data	2023, 2 May 13:00-15:00	Q1(a)	解释为什么医院 operational data 在分析前必须清洗，并说明可用资源"
t01_2023_q1c,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,数据清洗 workflow 设计,2023,2 May 13:00-15:00,Q1(c),针对医院 CSV 数据制定完整 cleaning plan,high,new,1,2026-04-30 12:45,paper/DAwHPC-ExamPaper-2023.pdf,2,extracted/text/DAwHPC-ExamPaper-2023_page_02.txt,extracted/images/DAwHPC-ExamPaper-2023_page_02.png,"(c) Create a plan for cleaning the dataset above, providing speciﬁc examples of
tasks at each step in the Data Cleaning workﬂow. You should assume that
HPC is not required for this task.
[12 marks]",,"数据清洗 workflow 设计	2023, 2 May 13:00-15:00	Q1(c)	针对医院 CSV 数据制定完整 cleaning plan"
t01_2023_q1d,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,验证清洗后数据中的统计假设,2023,2 May 13:00-15:00,Q1(d),用 cleaned data 验证不同 admission type 的 length of stay 差异,high,new,1,2026-04-30 12:45,paper/DAwHPC-ExamPaper-2023.pdf,2,extracted/text/DAwHPC-ExamPaper-2023_page_02.txt,extracted/images/DAwHPC-ExamPaper-2023_page_02.png,"(d) Brieﬂy describe how you could verify the following statement using the
cleaned data: “For each hospital, the average length of stay per year should
be much higher for transfers than any other admission type”.
[2 marks]",,"验证清洗后数据中的统计假设	2023, 2 May 13:00-15:00	Q1(d)	用 cleaned data 验证不同 admission type 的 length of stay 差异"
t01_2024_q1aii,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,tidy data 三原则,2024,6 May 13:00-15:00,Q1(a)(ii),直接问 tidy data 的三条原则,high,new,1,2026-04-30 12:45,paper/HPDA_Exam_Questions_2023_24.pdf,2,extracted/text/HPDA_Exam_Questions_2023_24_page_02.txt,extracted/images/HPDA_Exam_Questions_2023_24_page_02.png,"ii. State the three main principles of tidy data.
[3 marks]",,"tidy data 三原则	2024, 6 May 13:00-15:00	Q1(a)(ii)	直接问 tidy data 的三条原则"
t01_2024_q1ai,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,streaming dataset 数据一致性清洗,2024,6 May 13:00-15:00,Q1(a)(i),针对音乐播放数据说明如何使数据 consistent,high,new,1,2026-04-30 12:45,paper/HPDA_Exam_Questions_2023_24.pdf,2,extracted/text/HPDA_Exam_Questions_2023_24_page_02.txt,extracted/images/HPDA_Exam_Questions_2023_24_page_02.png,"i. Describe the steps that could be taken to make the streaming dataset
consistent.
[3 marks]",,"streaming dataset 数据一致性清洗	2024, 6 May 13:00-15:00	Q1(a)(i)	针对音乐播放数据说明如何使数据 consistent"
t01_2024_q1aiii,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,common untidiness issue,2024,6 May 13:00-15:00,Q1(a)(iii),识别数据表中的 untidy 问题并提出修复方法,high,new,1,2026-04-30 12:45,paper/HPDA_Exam_Questions_2023_24.pdf,2,extracted/text/HPDA_Exam_Questions_2023_24_page_02.txt,extracted/images/HPDA_Exam_Questions_2023_24_page_02.png,"iii. Which common data untidiness issue can be seen in the streaming
dataset?
Suggest an approach to fix the issue in this dataset.
[3 marks]",,"common untidiness issue	2024, 6 May 13:00-15:00	Q1(a)(iii)	识别数据表中的 untidy 问题并提出修复方法"
t01_2022_q2ai,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,raw data / DICOM metadata cleaning,2022,13 May 13:00-15:00,Q2(a)(i),找出 DICOM 表格中 technically incorrect 的 raw data 并说明清洗步骤,high,new,1,2026-04-30 12:45,paper/DAwHPC-ExamPaper-2022.pdf,5,extracted/text/DAwHPC-ExamPaper-2022_page_05.txt,extracted/images/DAwHPC-ExamPaper-2022_page_05.png,"i. DICOM can be viewed as a raw data format. Provide two examples
of raw data from the tables above that are not technically correct. For
each, identify a cleaning step which could be applied to that data.
[4 marks]",,"raw data / DICOM metadata cleaning	2022, 13 May 13:00-15:00	Q2(a)(i)	找出 DICOM 表格中 technically incorrect 的 raw data 并说明清洗步骤"
t01_2022_q2aii,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,数据一致性类型,2022,13 May 13:00-15:00,Q2(a)(ii),说明 DICOM metadata 中违反了哪些 consistency,high,new,1,2026-04-30 12:45,paper/DAwHPC-ExamPaper-2022.pdf,5,extracted/text/DAwHPC-ExamPaper-2022_page_05.txt,extracted/images/DAwHPC-ExamPaper-2022_page_05.png,"ii. What types of data consistency are violated, and how?
[4 marks]",,"数据一致性类型	2022, 13 May 13:00-15:00	Q2(a)(ii)	说明 DICOM metadata 中违反了哪些 consistency"
t01_2022_q1a,1,1. 数据清洗、数据整理、ETL/ELT、数据一致性,ETL vs ELT,2022,13 May 13:00-15:00,Q1(a),三个场景判断 ETL 或 ELT，并给出理由,high,new,1,2026-04-30 12:45,paper/DAwHPC-ExamPaper-2022.pdf,2,extracted/text/DAwHPC-ExamPaper-2022_page_02.txt,extracted/images/DAwHPC-ExamPaper-2022_page_02.png,"(a) In the three scenarios given below consider whether ETL or ELT would be
most appropriate and justify your answer:
i. A team within your company wants to detect anomalous insurance
claims.
ii. An organisation wishes to keep a long-term data archive for analysis.
iii. A secure data source houses highly sensitive data, including individuals’
personal information
[3 marks]",.213132,"ETL vs ELT	2022, 13 May 13:00-15:00	Q1(a)	三个场景判断 ETL 或 ELT，并给出理由"
t02_2023_q1b,2,2. 数据编码、特征缩放、数据探索,categorical variable encoding,2023,2 May 13:00-15:00,Q1(b),将 admission type 转换为 numerical model 可用形式，典型是 one-hot encoding,high,new,0,,paper/DAwHPC-ExamPaper-2023.pdf,2,extracted/text/DAwHPC-ExamPaper-2023_page_02.txt,extracted/images/DAwHPC-ExamPaper-2023_page_02.png,"(b) Name the technique which could be applied to convert a categorical variable
for use by numerical models, and show how it would be applied to the
following data sample.
[2 marks]
Row
admission type
1
Emergency
2
Emergency
3
Transfer",,"categorical variable encoding	2023, 2 May 13:00-15:00	Q1(b)	将 admission type 转换为 numerical model 可用形式，典型是 one-hot encoding"
